Epoch,Train Loss,Train Accuracy,Train Micro F1,Train Macro F1
0,1.1210576295852661,0.3333333333333333,0.3333333333333333,0.16666666666666666
1,1.100935935974121,0.3333333333333333,0.3333333333333333,0.16666666666666666
2,1.0738425254821777,0.6233333333333333,0.6233333333333333,0.50225844304062
3,1.0512677431106567,0.6566666666666666,0.6566666666666666,0.5641154335602364
4,1.0261750221252441,0.6883333333333334,0.6883333333333334,0.6393084597297329
5,0.9867687225341797,0.7033333333333334,0.7033333333333334,0.6566324736429129
6,0.9575499296188354,0.6983333333333334,0.6983333333333334,0.6408983451536643
7,0.9067288041114807,0.7083333333333334,0.7083333333333334,0.6670269445080529
8,0.8666536211967468,0.7133333333333334,0.7133333333333335,0.6739625828731017
9,0.8335880637168884,0.7183333333333334,0.7183333333333334,0.6773259013555327
10,0.7881467342376709,0.7166666666666667,0.7166666666666667,0.6752274510439819
11,0.7547354698181152,0.7166666666666667,0.7166666666666667,0.6811102468597334
12,0.7035666108131409,0.71,0.7100000000000001,0.6687382987873284
13,0.6730836033821106,0.745,0.745,0.7366902192199188
14,0.6319717168807983,0.7483333333333333,0.7483333333333333,0.7402515821143272
15,0.6110536456108093,0.71,0.7100000000000001,0.6594582344272876
16,0.5781933069229126,0.71,0.7100000000000001,0.6706319686725815
17,0.5540286898612976,0.7416666666666667,0.7416666666666667,0.7348985688145341
18,0.5330857634544373,0.7433333333333333,0.7433333333333333,0.7359861656338501
19,0.5300065279006958,0.74,0.74,0.7323780919787172
20,0.4996669590473175,0.745,0.745,0.7373481781376517
21,0.5053383111953735,0.7483333333333333,0.7483333333333333,0.7387324640325875
22,0.4809451401233673,0.7466666666666667,0.7466666666666667,0.7386579254355633
23,0.5019651651382446,0.7133333333333334,0.7133333333333335,0.6720360929616893
24,0.4853949546813965,0.7416666666666667,0.7416666666666667,0.7321599048208435
25,0.48270338773727417,0.75,0.75,0.7410985090948342
26,0.4812808632850647,0.7516666666666667,0.7516666666666667,0.7425117841811589
27,0.4908670485019684,0.7133333333333334,0.7133333333333335,0.6702010904387142
28,0.48043015599250793,0.75,0.75,0.7394500848178464
29,0.4850977957248688,0.75,0.75,0.7400723580807752
30,0.46413320302963257,0.7533333333333333,0.7533333333333333,0.7466567690232914
31,0.488144189119339,0.715,0.715,0.6713160835709983
32,0.47207707166671753,0.745,0.745,0.7367833882254686
33,0.46275100111961365,0.755,0.755,0.7460735627541512
34,0.4708646535873413,0.75,0.75,0.7408392308663686
35,0.45587843656539917,0.72,0.72,0.6764083685729076
36,0.4664154052734375,0.7183333333333334,0.7183333333333334,0.6756969696969697
37,0.44852131605148315,0.755,0.755,0.7463819934630469
38,0.4669710397720337,0.7483333333333333,0.7483333333333333,0.7371321694296168
39,0.45920613408088684,0.75,0.75,0.7354159592529711
40,0.45586055517196655,0.7516666666666667,0.7516666666666667,0.7451138551016895
41,0.4572361707687378,0.7266666666666667,0.7266666666666666,0.6941077441077441
42,0.4507018029689789,0.7533333333333333,0.7533333333333333,0.7458540359820901
